Date,XLF
2000-08-25,-0.01356687
2000-08-28,0.01891016
2000-08-29,-0.01012224
2000-08-30,0.00909103
2000-08-31,0.02589931
2000-09-01,-0.01646420
2000-09-05,0.01227517
2000-09-06,0.00771981
2000-09-07,-0.00820668
2000-09-08,0.02261350
2000-09-11,0.01995629
2000-09-12,-0.00158393
2000-09-13,-0.00635575
2000-09-14,-0.00373261
2000-09-15,-0.01629702
2000-09-18,-0.03327814
2000-09-19,0.02144275
2000-09-20,-0.01436259
2000-09-21,-0.01121083
2000-09-22,0.01927282
2000-09-25,0.01612788
2000-09-26,-0.00656834
2000-09-27,0.00055406
2000-09-28,0.02532822
2000-09-29,-0.00322042
2000-10-02,0.01400732
2000-10-03,-0.00106140
2000-10-04,-0.01276598
2000-10-05,0.00969643
2000-10-06,-0.04162017
2000-10-09,-0.01559083
2000-10-10,-0.02884655
2000-10-11,0.00174820
2000-10-12,-0.05813964
2000-10-13,0.05185202
2000-10-16,0.00879956
2000-10-17,-0.02733825
2000-10-18,-0.01136494
2000-10-19,0.04718478
2000-10-20,0.00404491
2000-10-23,-0.01668492
2000-10-24,0.02516250
2000-10-25,0.00570540
2000-10-26,-0.03234886
2000-10-27,0.03284507
2000-10-30,0.03634258
2000-10-31,0.00822019
2000-11-01,-0.00434781
2000-11-02,0.00491152
2000-11-03,-0.00271467
2000-11-06,0.01361538
2000-11-07,-0.00322570
2000-11-08,-0.01778870
2000-11-09,0.00713424
2000-11-10,-0.01089969
2000-11-13,-0.02368878
2000-11-14,0.00564160
2000-11-15,-0.00785482
2000-11-16,-0.00339520
2000-11-17,-0.00794355
2000-11-20,-0.02974835
2000-11-21,0.00235861
2000-11-22,-0.02412066
2000-11-24,0.00723331
2000-11-27,0.01376532
2000-11-28,0.01062764
2000-11-29,0.02453064
2000-11-30,-0.00456099
2000-12-01,-0.00572536
2000-12-04,-0.00460836
2000-12-05,0.04166673
2000-12-06,-0.00444476
2000-12-07,0.00223268
2000-12-08,0.02895312
2000-12-11,0.00811364
2000-12-12,-0.01180705
2000-12-13,0.00054240
2000-12-14,-0.02877225
2000-12-15,-0.00415819
2000-12-18,0.02929579
2000-12-19,-0.01094617
2000-12-20,-0.00940767
2000-12-21,0.02346572
2000-12-22,0.00818524
2000-12-26,0.01786947
2000-12-27,0.00638296
2000-12-28,0.01003982
2000-12-29,-0.01203317
2001-01-02,-0.02807511
2001-01-03,0.05395264
2001-01-04,-0.01757854
2001-01-05,-0.02105281
2001-01-08,-0.01021601
2001-01-09,-0.01683956
2001-01-10,0.01657619
2001-01-11,0.00217440
2001-01-12,-0.01898150
2001-01-16,0.01768922
2001-01-17,0.00163071
2001-01-18,-0.01464312
2001-01-19,-0.00715363
2001-01-22,0.01773831
2001-01-23,0.00980214
2001-01-24,0.00593378
2001-01-25,0.00911453
2001-01-26,0.00372034
2001-01-29,0.00082681
2001-01-30,0.00880186
2001-01-31,-0.01241626
2001-02-01,0.00135892
2001-02-02,0.00271472
2001-02-05,0.00676838
2001-02-06,-0.01949600
2001-02-07,-0.00239948
2001-02-08,-0.00274955
2001-02-09,0.00413526
2001-02-12,0.01407001
2001-02-13,-0.00575285
2001-02-14,-0.01157283
2001-02-15,0.00000000
2001-02-16,0.00034445
2001-02-20,-0.03683311
2001-02-21,-0.02966358
2001-02-22,0.00699808
2001-02-23,-0.00475524
2001-02-26,0.02205107
2001-02-27,0.01078673
2001-02-28,-0.02347876
2001-03-01,0.00109297
2001-03-02,0.00145587
2001-03-05,-0.00508736
2001-03-06,0.00292211
2001-03-07,0.02112116
2001-03-08,0.00392305
2001-03-09,-0.02309054
2001-03-12,-0.04909102
2001-03-13,0.02676818
2001-03-14,-0.04618194
2001-03-15,0.03006589
2001-03-16,-0.01304500
2001-03-19,0.01156022
2001-03-20,-0.02780901
2001-03-21,-0.02899707
2001-03-22,-0.02582700
2001-03-23,0.04225330
2001-03-26,0.01589844
2001-03-27,0.02816892
2001-03-28,-0.00532722
2001-03-29,-0.00229576
2001-03-30,0.01763865
2001-04-02,0.00452143
2001-04-03,-0.03375880
2001-04-04,-0.02445642
2001-04-05,0.03660986
2001-04-06,-0.02226543
2001-04-09,-0.00039245
2001-04-10,0.02906532
2001-04-11,0.00839657
2001-04-12,0.00757069
2001-04-16,-0.00713787
2001-04-17,0.00832412
2001-04-18,0.04202635
2001-04-19,0.00540159
2001-04-20,-0.01719189
2001-04-23,-0.01239111
2001-04-24,-0.00516569
2001-04-25,0.01075604
2001-04-26,0.00403724
2001-04-27,0.02156376
2001-04-30,-0.01609974
2001-05-01,0.00836397
2001-05-02,0.00793287
2001-05-03,0.00035804
2001-05-04,0.01216025
2001-05-07,-0.00636003
2001-05-08,-0.01031291
2001-05-09,-0.00107817
2001-05-10,0.00035981
2001-05-11,-0.00934976
2001-05-14,0.00834896
2001-05-15,0.00611902
2001-05-16,0.02683368
2001-05-17,-0.00522615
2001-05-18,-0.00560420
2001-05-21,0.01408963
2001-05-22,0.01007307
2001-05-23,-0.00412683
2001-05-24,0.00379821
2001-05-25,-0.01341621
2001-05-29,0.00069745
2001-05-30,-0.00836213
2001-05-31,0.00878443
2001-06-01,-0.00174128
2001-06-04,0.00802495
2001-06-05,0.00449947
2001-06-06,-0.00758056
2001-06-07,-0.00659766
2001-06-08,-0.00594207
2001-06-11,-0.00949330
2001-06-12,0.00319523
2001-06-13,-0.00813903
2001-06-14,-0.01748161
2001-06-15,0.00513878
2001-06-18,0.00253836
2001-06-19,0.00904129
2001-06-20,0.00537677
2001-06-21,0.04028505
2001-06-22,-0.01302284
2001-06-25,-0.00798634
2001-06-26,-0.01259984
2001-06-27,0.00035426
2001-06-28,0.01311081
2001-06-29,-0.00664515
2001-07-02,0.01232385
2001-07-03,-0.00069595
2001-07-05,-0.00626499
2001-07-06,-0.02031553
2001-07-09,0.00321815
2001-07-10,-0.02423403
2001-07-11,-0.00182595
2001-07-12,0.01756313
2001-07-13,0.01186641
2001-07-16,-0.01421460
2001-07-17,0.02054729
2001-07-18,-0.00565142
2001-07-19,-0.00674959
2001-07-20,-0.00464928
2001-07-23,-0.00539029
2001-07-24,-0.01300529
2001-07-25,0.00768626
2001-07-26,0.00799107
2001-07-27,0.00576639
2001-07-30,-0.00322499
2001-07-31,0.01114319
2001-08-01,0.00426633
2001-08-02,-0.00141604
2001-08-03,0.00425381
2001-08-06,-0.01447260
2001-08-07,0.01074508
2001-08-08,-0.02019854
2001-08-09,0.00470158
2001-08-10,0.00072000
2001-08-13,-0.00107897
2001-08-14,0.00035988
2001-08-15,-0.00395949
2001-08-16,-0.00289153
2001-08-17,-0.01486053
2001-08-20,0.00993404
2001-08-21,-0.01238594
2001-08-22,0.00442599
2001-08-23,0.00036736
2001-08-24,0.00256944
2001-08-27,-0.00988582
2001-08-28,-0.01590284
2001-08-29,-0.00901883
2001-08-30,-0.00682612
2001-08-31,0.00305484
2001-09-04,-0.00418779
2001-09-05,-0.00611571
2001-09-06,-0.02307748
2001-09-07,-0.01968467
2001-09-10,0.00200810
2001-09-17,-0.04408809
2001-09-18,-0.01257843
2001-09-19,-0.00721895
2001-09-20,-0.04405443
2001-09-21,-0.01577499
2001-09-24,0.05205502
2001-09-25,0.01605841
2001-09-26,0.00982539
2001-09-27,0.01649787
2001-09-28,0.02704874
2001-10-01,-0.00283586
2001-10-02,0.01381527
2001-10-03,0.01603247
2001-10-04,-0.00789006
2001-10-05,-0.02743537
2001-10-08,-0.02248581
2001-10-09,0.00836467
2001-10-10,0.01576120
2001-10-11,0.01592480
2001-10-12,-0.01567517
2001-10-15,0.00449201
2001-10-16,0.01625973
2001-10-17,-0.00999969
2001-10-18,-0.00121236
2001-10-19,-0.01618071
2001-10-22,0.02425938
2001-10-23,0.00240831
2001-10-24,-0.00360411
2001-10-25,0.01326359
2001-10-26,0.01150369
2001-10-29,-0.03529391
2001-10-30,-0.00203336
2001-10-31,-0.00896103
2001-11-01,0.01644084
2001-11-02,0.00525691
2001-11-05,0.02172146
2001-11-06,0.01220479
2001-11-07,0.00388970
2001-11-08,0.00309944
2001-11-09,-0.00656626
2001-11-12,-0.00466547
2001-11-13,0.02695320
2001-11-14,-0.00190212
2001-11-15,-0.00609756
2001-11-16,-0.00498452
2001-11-19,0.02042397
2001-11-20,-0.00566489
2001-11-21,-0.00873540
2001-11-23,0.01532598
2001-11-26,0.00528290
2001-11-27,0.00225218
2001-11-28,-0.02996228
2001-11-29,0.01081047
2001-11-30,-0.01031331
2001-12-03,-0.01389414
2001-12-04,0.01369895
2001-12-05,0.01389914
2001-12-06,0.01294774
2001-12-07,-0.00676677
2001-12-10,-0.01589703
2001-12-11,0.00576966
2001-12-12,-0.00382470
2001-12-13,-0.01573831
2001-12-14,-0.00546081
2001-12-17,0.01372544
2001-12-18,0.00928428
2001-12-19,0.01954776
2001-12-20,-0.00413517
2001-12-21,-0.00701436
2001-12-24,-0.00076380
2001-12-26,0.00458567
2001-12-27,-0.00076089
2001-12-28,0.01065840
2001-12-31,-0.00941571
2002-01-02,-0.00114103
2002-01-03,0.00685192
2002-01-04,0.01323266
2002-01-07,-0.00261214
2002-01-08,-0.01384190
2002-01-09,0.00531113
2002-01-10,-0.00377370
2002-01-11,-0.00568182
2002-01-14,-0.00761919
2002-01-15,0.02188100
2002-01-16,-0.01239652
2002-01-17,0.00950917
2002-01-18,-0.00376767
2002-01-22,-0.00340411
2002-01-23,0.00455425
2002-01-24,0.00113336
2002-01-25,0.00641472
2002-01-28,-0.01012348
2002-01-29,-0.04356063
2002-01-30,0.01267314
2002-01-31,0.01681634
2002-02-01,-0.01230767
2002-02-04,-0.03621451
2002-02-05,0.00000000
2002-02-06,-0.01414184
2002-02-07,0.00942639
2002-02-08,0.02639074
2002-02-11,0.00870238
2002-02-12,-0.01137252
2002-02-13,0.02022998
2002-02-14,-0.00194345
2002-02-15,-0.01558277
2002-02-19,-0.02730483
2002-02-20,0.01871386
2002-02-21,-0.01158107
2002-02-22,-0.00606098
2002-02-25,0.02561013
2002-02-26,-0.00079295
2002-02-27,0.01031343
2002-02-28,0.00314092
2002-03-01,0.01369842
2002-03-04,0.03397714
2002-03-05,0.00074688
2002-03-06,0.01679087
2002-03-07,-0.00880742
2002-03-08,0.00444263
2002-03-11,0.00589781
2002-03-12,0.00036621
2002-03-13,-0.00915695
2002-03-14,0.00258766
2002-03-15,0.02108715
2002-03-18,-0.00217377
2002-03-19,-0.00036335
2002-03-20,-0.01561904
2002-03-21,0.00036908
2002-03-22,-0.00036894
2002-03-25,-0.01586712
2002-03-26,0.01237378
2002-03-27,0.01296301
2002-03-28,-0.00731349
2002-04-01,-0.00184115
2002-04-02,0.00369035
2002-04-03,-0.01470613
2002-04-04,0.00895548
2002-04-05,0.00480764
2002-04-08,0.00294442
2002-04-09,0.00623835
2002-04-10,0.00364703
2002-04-11,-0.02470892
2002-04-12,0.01266712
2002-04-15,-0.01287691
2002-04-16,0.02049919
2002-04-17,0.00255662
2002-04-18,0.00000000
2002-04-19,-0.00182152
2002-04-22,-0.01350334
2002-04-23,-0.00480942
2002-04-24,-0.00631969
2002-04-25,-0.00935286
2002-04-26,-0.00377667
2002-04-29,-0.00871882
2002-04-30,0.01185487
2002-05-01,0.00680244
2002-05-02,0.00976026
2002-05-03,-0.00483274
2002-05-06,-0.02316061
2002-05-07,-0.00458878
2002-05-08,0.02958128
2002-05-09,-0.01194012
2002-05-10,-0.01284003
2002-05-13,0.01798020
2002-05-14,0.01540772
