Date,PLAT
1998-06-02,0.0033030553261765800
1998-06-03,-0.0178326474622771000
1998-06-04,0.0131284916201118000
1998-06-05,-0.0077198786876207000
1998-06-08,0.0119477632675744000
1998-06-09,-0.0142778693025810000
1998-06-10,-0.0047353760445682000
1998-06-11,-0.0181919955219704000
1998-06-12,-0.0051311288483466600
1998-06-15,-0.0042979942693409700
1998-06-16,0.0241726618705036000
1998-06-17,0.0140488901376792000
1998-06-18,-0.0074812967581047200
1998-06-19,0.0134003350083753000
1998-06-22,-0.0140495867768595000
1998-06-23,-0.0089410449846325500
1998-06-24,-0.0064843529743445800
1998-06-25,0.0056186152099886300
1998-06-26,-0.0033297590157458400
1998-06-29,-0.0005662514156284940
1998-06-30,0.0220963172804534000
1998-07-01,0.0241130820399114000
1998-07-02,-0.0051420838971583100
